name,email,age,gender,City,mobileNumber,customerSegment,role
Buddhika Nelson,user0001@example.com,25,,Kurunegala,799663907,regular_shoppers,user
Crystal Santos,user0002@example.com,65,,,795918360,occasional_shoppers,user
Angela Stewart,user0003@example.com,19,Male,Gampaha,724208709,rare_shoppers,user
Patricia Garcia,user0004@example.com,51,Female,Trincomalee,781216573,frequent_shoppers,user
Cynthia Ray,user0005@example.com,40,Female,Negombo,730517835,frequent_shoppers,user
Buddhika Seneviratne,user0006@example.com,29,Female,Gampaha,794183695,occasional_shoppers,user
Lisa Davis,user0007@example.com,48,Male,Kandy,717635653,frequent_shoppers,user
Timothy Bandara,user0008@example.com,59,Female,Kilinochchi,786726461,regular_shoppers,user
Chamara Ray,user0009@example.com,48,Female,Ratnapura,768754920,frequent_shoppers,user
Carmen Perera,user0010@example.com,28,Female,Ratnapura,722684373,frequent_shoppers,user
Priya Rajapaksa,user0011@example.com,34,Female,Negombo,751638598,regular_shoppers,user
Chamara Wickramasinghe,user0012@example.com,26,Female,Nuwara Eliya,780651318,regular_shoppers,user
Monica Gunasekara,user0013@example.com,50,Male,Anuradhapura,728463709,occasional_shoppers,user
Andrew Santos,user0014@example.com,68,Female,Kilinochchi,792950779,,user
Joel Jayasinghe,user0015@example.com,28,Female,Kurunegala,741880763,frequent_shoppers,user
Carmen Jayasinghe,user0016@example.com,65,Male,Moratuwa,747818761,frequent_shoppers,user
Victoria Perera,user0017@example.com,28,Female,Batticaloa,723769360,regular_shoppers,user
Roshan Herath,user0018@example.com,25,Female,Kilinochchi,756920514,regular_shoppers,user
Angie Garcia,user0019@example.com,50,Male,Trincomalee,797236246,,user
Jessica Dissanayake,user0020@example.com,20,Female,Negombo,712550658,regular_shoppers,user
Mark Ray,user0021@example.com,53,Female,Matara,793592219,frequent_shoppers,user
Michael Santos,user0022@example.com,75,Female,Trincomalee,742287985,regular_shoppers,user
Kavinda Garcia,user0023@example.com,60,Other,Kilinochchi,762405812,occasional_shoppers,user
Lauren Henderson,user0024@example.com,41,Male,Badulla,754629892,occasional_shoppers,user
Joel Henderson,user0025@example.com,39,Male,Gampaha,718469210,regular_shoppers,user
Roshan Seneviratne,user0026@example.com,20,Male,Kandy,782884346,regular_shoppers,user
Lauren Nelson,user0027@example.com,,Male,Kandy,768646621,regular_shoppers,user
Connor De Silva,user0028@example.com,42,Male,Badulla,720593403,regular_shoppers,user
Tammy Jayasinghe,user0029@example.com,29,Male,Matara,769580374,regular_shoppers,user
Crystal Brooks,user0030@example.com,,Male,Batticaloa,795565484,occasional_shoppers,user
Connor Burgess,user0031@example.com,65,Female,Gampaha,796592295,,user
Timothy Burgess,user0032@example.com,54,,Gampaha,781062902,regular_shoppers,user
Timothy Hicks,user0033@example.com,35,Male,Moratuwa,744935501,rare_shoppers,user
Roshan Brooks,user0034@example.com,57,Female,Jaffna,769741812,frequent_shoppers,user
Monica Dissanayake,user0035@example.com,72,Female,Vavuniya,795590648,occasional_shoppers,user
Kimberly Dissanayake,user0036@example.com,32,Male,Moratuwa,784040798,,user
Joel Jayasinghe,user0037@example.com,22,Other,Kilinochchi,752550733,regular_shoppers,user
Chamara Santos,user0038@example.com,61,Male,Vavuniya,717437386,frequent_shoppers,user
Daniel Perera,user0039@example.com,28,Female,Kilinochchi,783932683,occasional_shoppers,user
Linda Davis,user0040@example.com,57,Female,Negombo,785647532,regular_shoppers,user
Cristian Bandara,user0041@example.com,23,,Batticaloa,714064904,occasional_shoppers,user
Kevin Wijesinghe,user0042@example.com,36,Male,Nuwara Eliya,765783806,frequent_shoppers,user
Lauren Brooks,user0043@example.com,56,Female,Badulla,724251766,frequent_shoppers,user
Lisa Adams,user0044@example.com,35,Male,Nuwara Eliya,787535841,regular_shoppers,user
Isuru Rocha,user0045@example.com,28,Female,Matara,742310051,frequent_shoppers,user
Rebecca Fernando,user0046@example.com,21,Female,Moratuwa,745496951,frequent_shoppers,user
Isuru Burgess,user0047@example.com,41,,Vavuniya,770445541,regular_shoppers,user
Buddhika Silva,user0048@example.com,57,Male,Nuwara Eliya,736717096,rare_shoppers,user
Sachini Perera,user0049@example.com,20,,Ratnapura,779190008,regular_shoppers,user
Joel Rocha,user0050@example.com,38,Other,Matara,785554415,regular_shoppers,user
Kim Peterson,user0051@example.com,41,Male,Matara,745638891,occasional_shoppers,user
Chamara Dissanayake,user0052@example.com,55,Female,Kurunegala,742507072,occasional_shoppers,user
Cristian Fernando,user0053@example.com,25,Male,Kalutara,718359252,regular_shoppers,user
Roshan Davis,user0054@example.com,53,Female,Ratnapura,757551594,regular_shoppers,user
Sunil Seneviratne,user0055@example.com,61,Female,Anuradhapura,749945150,regular_shoppers,user
David Wickramasinghe,user0056@example.com,63,Male,Batticaloa,762953249,regular_shoppers,user
Crystal Seneviratne,user0057@example.com,36,,Galle,738720823,regular_shoppers,user
Zachary Bandara,user0058@example.com,53,Male,Trincomalee,741250794,occasional_shoppers,user
Abigail Shaffer,user0059@example.com,63,Female,Vavuniya,736770527,frequent_shoppers,user
Buddhika Stewart,user0060@example.com,59,Female,Trincomalee,733496796,occasional_shoppers,user
Angela Wijesinghe,user0061@example.com,20,Male,Matara,754968591,frequent_shoppers,user
David Brooks,user0062@example.com,52,Female,Kilinochchi,771594457,frequent_shoppers,user
Chamara Nelson,user0063@example.com,18,Female,Anuradhapura,779159799,occasional_shoppers,user
Lisa Santos,user0064@example.com,24,Male,Trincomalee,745835371,,user
